time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
27043,0.0553,0.0552,0.4207,-0.09,1.44,-0.78,0.4278,1.6353,idle
27063,0.0494,0.0500,0.4142,-0.05,-1.30,-0.81,0.4201,1.5300,idle
27083,0.0570,0.0559,0.4103,-0.12,-2.18,-1.11,0.4180,2.4543,idle
27103,0.0612,0.0529,0.4078,-0.52,-0.46,-1.08,0.4158,1.2862,idle
27123,0.0505,0.0552,0.4126,-1.48,1.13,-0.18,0.4193,1.8716,idle
27143,0.0460,0.0525,0.4082,-1.59,-0.89,0.06,0.4141,1.8190,idle
27163,0.0486,0.0570,0.4154,-1.24,-3.27,-0.18,0.4221,3.4982,idle
27183,0.0610,0.0603,0.4071,-1.63,-2.47,0.15,0.4160,2.9680,idle
27203,0.0609,0.0563,0.4047,-1.83,0.23,0.84,0.4131,2.0283,idle
27223,0.0549,0.0599,0.4115,-1.59,0.87,1.40,0.4195,2.2916,idle
27243,0.0555,0.0565,0.4163,-0.96,0.17,1.40,0.4237,1.7106,idle
27263,0.0610,0.0562,0.4167,-0.47,-0.72,1.34,0.4249,1.5950,idle
27283,0.0591,0.0580,0.4160,-0.70,-0.67,1.65,0.4242,1.9139,idle
27303,0.0599,0.0555,0.4095,-0.75,-1.44,1.56,0.4176,2.2459,idle
27323,0.0619,0.0546,0.4103,-0.31,-2.35,0.17,0.4185,2.3768,idle
27343,0.0636,0.0526,0.4142,-0.53,-2.15,-0.52,0.4223,2.2779,idle
27363,0.0587,0.0551,0.4081,-0.90,-1.71,-1.10,0.4159,2.2234,idle
27383,0.0576,0.0565,0.4149,-0.66,-3.02,-1.31,0.4227,3.3605,idle
27403,0.0631,0.0569,0.4141,-0.56,-3.44,-1.56,0.4227,3.8137,idle
27423,0.0676,0.0543,0.4115,-0.46,-1.30,-1.65,0.4205,2.1477,idle
27443,0.0583,0.0510,0.4131,0.02,-0.17,-1.82,0.4203,1.8246,idle
27463,0.0515,0.0531,0.4196,0.75,-1.48,-1.60,0.4260,2.3071,idle
27483,0.0521,0.0503,0.4139,1.11,-2.89,-1.54,0.4202,3.4563,idle
27503,0.0574,0.0509,0.4135,1.24,-2.96,-1.79,0.4205,3.6732,idle
27523,0.0536,0.0518,0.4122,0.63,-3.11,-1.42,0.4189,3.4796,idle
27543,0.0544,0.0533,0.4135,0.63,-3.83,-1.51,0.4204,4.1667,idle
27563,0.0557,0.0509,0.4119,0.55,-3.16,-1.68,0.4187,3.6208,idle
27583,0.0551,0.0552,0.4109,0.08,-2.60,-1.66,0.4182,3.0840,idle
27603,0.0557,0.0526,0.4120,-0.41,-0.64,-1.40,0.4190,1.5981,idle
27623,0.0490,0.0518,0.4144,-0.60,-0.37,-0.67,0.4205,0.9696,idle
27643,0.0443,0.0521,0.4143,-0.56,-1.28,0.17,0.4199,1.4114,idle
27663,0.0551,0.0503,0.4130,-0.70,-1.88,0.24,0.4196,2.0197,idle
27683,0.0555,0.0526,0.4093,-0.95,-0.03,-0.20,0.4164,0.9676,idle
27703,0.0476,0.0522,0.4155,-1.50,0.23,0.72,0.4215,1.6751,idle
27723,0.0513,0.0490,0.4208,-1.02,-0.66,1.21,0.4267,1.7123,idle
27743,0.0536,0.0459,0.4169,0.38,-1.18,0.76,0.4228,1.4527,idle
27763,0.0535,0.0496,0.4169,0.40,-0.81,0.87,0.4232,1.2528,idle
27783,0.0430,0.0499,0.4208,0.75,-2.31,1.69,0.4259,2.9574,idle
27803,0.0522,0.0487,0.4159,2.05,-3.89,1.62,0.4220,4.6862,idle
27823,0.0531,0.0510,0.4042,1.73,-3.60,1.79,0.4108,4.3760,idle
27843,0.0629,0.0546,0.4021,0.75,-1.80,1.71,0.4106,2.5940,idle
27863,0.0590,0.0526,0.4073,-0.14,-0.50,1.51,0.4149,1.5991,idle
27883,0.0586,0.0494,0.4081,-1.21,-0.61,0.82,0.4152,1.5834,idle
27903,0.0530,0.0487,0.4103,-2.60,0.34,0.47,0.4165,2.6595,idle
27923,0.0474,0.0465,0.4124,-2.70,-1.05,1.19,0.4177,3.1353,idle
27943,0.0483,0.0461,0.4181,-2.15,-2.08,1.54,0.4234,3.3649,idle
27963,0.0540,0.0399,0.4163,-1.02,-1.77,1.05,0.4216,2.3005,idle
27983,0.0543,0.0500,0.4161,-0.08,-1.04,0.60,0.4226,1.1992,idle
28003,0.0515,0.0522,0.4111,0.38,-1.37,0.78,0.4176,1.6248,idle
28023,0.0585,0.0487,0.4139,1.18,-2.32,0.58,0.4209,2.6653,idle
28043,0.0667,0.0492,0.4065,1.30,-0.89,0.52,0.4148,1.6546,idle
28063,0.0546,0.0486,0.4056,0.46,-0.08,1.16,0.4122,1.2498,idle
28083,0.0546,0.0500,0.4103,0.55,-2.44,0.43,0.4169,2.5400,idle
28103,0.0665,0.0461,0.4025,0.41,-2.27,-0.69,0.4105,2.4118,idle
28123,0.0604,0.0496,0.4089,0.08,-0.69,-1.08,0.4163,1.2856,idle
28143,0.0541,0.0486,0.4076,0.24,-0.34,-0.72,0.4140,0.8291,idle
28163,0.0560,0.0515,0.4092,0.20,-1.05,-0.34,0.4162,1.1234,idle
28183,0.0580,0.0494,0.4180,0.24,0.26,-1.04,0.4249,1.0976,idle
28203,0.0500,0.0499,0.4158,-0.11,1.42,-0.79,0.4217,1.6302,idle
28223,0.0415,0.0485,0.4244,0.23,-0.81,0.14,0.4292,0.8521,idle
28243,0.0505,0.0459,0.4237,0.95,-3.15,0.69,0.4292,3.3555,idle
28263,0.0627,0.0454,0.4185,0.64,-1.25,0.44,0.4256,1.4746,idle
28283,0.0557,0.0455,0.4181,-0.18,1.08,-0.05,0.4242,1.1003,idle
28303,0.0433,0.0457,0.4192,-0.58,-0.52,-0.20,0.4239,0.8034,idle
28323,0.0504,0.0465,0.4147,-0.98,-3.24,-0.61,0.4203,3.4356,idle
28343,0.0621,0.0477,0.4058,-1.74,-1.71,-0.89,0.4133,2.5956,idle
28363,0.0681,0.0428,0.4142,-2.47,1.24,-1.34,0.4219,3.0743,idle
28383,0.0616,0.0455,0.4097,-3.16,2.29,-1.60,0.4168,4.2192,idle
28403,0.0459,0.0455,0.4166,-2.53,0.85,-1.48,0.4216,3.0573,idle
