time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
10203,0.1863,-0.2367,0.3435,1.28,-1.86,-2.06,0.4569,3.0597,idle
10223,0.1849,-0.2328,0.3340,1.34,0.24,-0.81,0.4471,1.5873,idle
10243,0.1754,-0.2355,0.3398,1.82,0.64,0.00,0.4491,1.9266,idle
10263,0.1687,-0.2380,0.3451,1.42,-1.16,-0.58,0.4519,1.9232,idle
10283,0.1730,-0.2312,0.3406,1.36,-2.96,-1.02,0.4465,3.4154,idle
10303,0.1846,-0.2321,0.3356,1.28,-1.27,-0.63,0.4478,1.9085,idle
10323,0.1815,-0.2350,0.3354,1.24,1.34,0.02,0.4480,1.8261,idle
10343,0.1752,-0.2356,0.3403,1.44,1.89,-0.20,0.4495,2.3839,idle
10363,0.1733,-0.2253,0.3352,1.30,1.15,-0.67,0.4395,1.8565,idle
10383,0.1753,-0.2271,0.3397,1.10,0.73,-0.40,0.4446,1.3795,idle
10403,0.1720,-0.2295,0.3412,0.89,-0.17,-0.53,0.4457,1.0478,idle
10423,0.1847,-0.2311,0.3381,0.61,1.37,-2.03,0.4493,2.5267,idle
10443,0.1761,-0.2271,0.3352,0.90,5.45,-1.80,0.4415,5.8106,idle
10463,0.1709,-0.2233,0.3365,0.02,5.82,-1.54,0.4385,6.0177,idle
10483,0.1682,-0.2374,0.3491,0.75,4.41,-1.69,0.4545,4.7853,idle
10503,0.1653,-0.2224,0.3452,0.64,3.56,-1.83,0.4427,4.0524,idle
10523,0.1650,-0.2212,0.3435,-0.09,2.75,0.20,0.4406,2.7568,idle
10543,0.1624,-0.2323,0.3547,-0.38,-0.99,0.43,0.4540,1.1460,idle
10563,0.1698,-0.2321,0.3468,-0.21,-3.54,0.43,0.4505,3.5741,idle
10583,0.1705,-0.2324,0.3535,-0.12,-2.81,0.85,0.4562,2.9389,idle
10603,0.1718,-0.2422,0.3550,0.50,-2.11,1.01,0.4628,2.3892,idle
10623,0.1770,-0.2369,0.3494,1.02,-1.76,0.95,0.4577,2.2416,idle
10643,0.1782,-0.2380,0.3475,1.98,-1.60,0.15,0.4574,2.5558,idle
10663,0.1761,-0.2305,0.3512,2.31,-0.55,-0.23,0.4555,2.3810,idle
10683,0.1769,-0.2316,0.3456,2.92,-0.53,-0.55,0.4520,3.0151,idle
10703,0.1765,-0.2327,0.3463,2.78,-1.15,-0.70,0.4530,3.0863,idle
10723,0.1760,-0.2301,0.3440,2.95,-1.30,-1.59,0.4497,3.5899,idle
10743,0.1641,-0.2267,0.3431,2.60,-1.37,-1.24,0.4428,3.1865,idle
10763,0.1780,-0.2300,0.3373,2.15,-1.66,-1.73,0.4453,3.2217,idle
10783,0.1747,-0.2268,0.3414,1.68,-1.08,-1.33,0.4456,2.3999,idle
10803,0.1688,-0.2274,0.3450,1.25,-1.63,-1.16,0.4463,2.3627,idle
10823,0.1720,-0.2256,0.3376,0.61,-2.92,-1.47,0.4410,3.3203,idle
10843,0.1710,-0.2306,0.3452,0.46,-3.47,-1.91,0.4490,3.9828,idle
10863,0.1749,-0.2343,0.3441,0.73,-2.98,-2.08,0.4515,3.7029,idle
10883,0.1741,-0.2355,0.3442,1.15,0.09,-2.09,0.4519,2.3863,idle
10903,0.1686,-0.2289,0.3433,1.28,0.47,-2.20,0.4457,2.5888,idle
10923,0.1660,-0.2299,0.3386,1.77,0.69,-2.32,0.4417,2.9989,idle
10943,0.1621,-0.2279,0.3423,1.51,0.76,-1.53,0.4420,2.2799,idle
10963,0.1641,-0.2233,0.3379,0.78,-0.44,-1.69,0.4370,1.9168,idle
10983,0.1648,-0.2262,0.3464,0.81,-1.24,-0.84,0.4454,1.6997,idle
11003,0.1699,-0.2247,0.3428,0.78,-1.39,-0.58,0.4437,1.6950,idle
11023,0.1682,-0.2223,0.3451,0.18,-0.90,0.14,0.4436,0.9294,idle
11043,0.1609,-0.2295,0.3474,0.17,-2.67,0.43,0.4464,2.7109,idle
