time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
13063,0.1671,0.0760,0.4139,-0.52,20.15,-7.91,0.4528,21.6551,idle
13083,0.1711,0.0654,0.4087,0.23,22.38,-9.85,0.4479,24.4533,idle
13103,0.1556,0.0773,0.3969,-1.28,23.94,-11.30,0.4332,26.5020,idle
13123,0.1412,0.0725,0.4036,-2.03,22.66,-11.11,0.4337,25.3174,idle
13143,0.1451,0.0663,0.3931,-2.90,20.79,-11.50,0.4242,23.9366,idle
13163,0.1428,0.0695,0.3834,-4.11,22.03,-12.60,0.4150,25.7071,idle
13183,0.1326,0.0653,0.3813,-5.37,23.48,-12.55,0.4090,27.1611,idle
13203,0.1146,0.0623,0.3823,-4.93,23.98,-11.48,0.4040,27.0443,idle
13223,0.1019,0.0605,0.3844,-5.19,22.08,-10.06,0.4023,24.8100,idle
13243,0.0931,0.0615,0.3862,-5.68,19.27,-8.09,0.4020,21.6553,idle
13263,0.0845,0.0586,0.3853,-6.12,15.08,-6.05,0.3987,17.3654,idle
13283,0.0918,0.0497,0.3871,-4.58,12.27,-4.95,0.4009,14.0042,idle
13303,0.0961,0.0479,0.3898,-2.90,12.06,-3.77,0.4043,12.9655,idle
13323,0.0845,0.0424,0.3967,-0.61,10.76,-1.80,0.4078,10.9302,idle
13343,0.0724,0.0376,0.4059,2.18,4.63,0.23,0.4140,5.1204,idle
13363,0.0817,0.0435,0.4041,4.99,-3.66,1.82,0.4145,6.4537,idle
13383,0.0951,0.0424,0.3999,7.08,-8.96,2.15,0.4132,11.6246,idle
13403,0.1122,0.0449,0.3972,7.77,-10.17,1.89,0.4152,12.9367,idle
13423,0.1165,0.0548,0.3961,7.79,-9.37,0.96,0.4165,12.2239,idle
13443,0.1177,0.0525,0.3972,7.54,-7.37,0.58,0.4176,10.5638,idle
13463,0.1112,0.0583,0.4008,6.92,-5.18,0.23,0.4200,8.6412,idle
13483,0.1021,0.0688,0.4017,5.66,-5.28,0.03,0.4202,7.7452,idle
13503,0.0979,0.0670,0.4108,3.79,-7.86,0.27,0.4276,8.7311,idle
13523,0.1112,0.0667,0.4086,3.21,-9.74,0.23,0.4286,10.2571,idle
13543,0.1151,0.0682,0.4000,0.96,-8.44,-0.73,0.4218,8.5289,idle
13563,0.1102,0.0751,0.4036,-0.95,-6.49,-0.26,0.4250,6.5624,idle
13583,0.1115,0.0763,0.4139,-2.02,-5.37,0.41,0.4354,5.7543,idle
13603,0.1064,0.0774,0.4056,-4.40,-6.95,0.24,0.4265,8.2248,idle
13623,0.1190,0.0728,0.4032,-6.20,-6.20,-0.52,0.4266,8.7813,idle
13643,0.1270,0.0745,0.3970,-8.47,-3.42,-1.39,0.4234,9.2424,idle
13663,0.1234,0.0790,0.3947,-12.03,0.98,-1.77,0.4210,12.1994,idle
13683,0.1176,0.0679,0.3995,-14.46,2.29,-1.71,0.4220,14.7378,idle
13703,0.1182,0.0594,0.4008,-15.86,3.22,-2.38,0.4220,16.3607,idle
13723,0.1138,0.0526,0.4095,-15.18,4.66,-2.73,0.4283,16.1074,idle
13743,0.1073,0.0520,0.4131,-13.59,5.95,-2.26,0.4300,15.0062,idle
13763,0.1031,0.0446,0.4149,-10.84,6.55,-1.36,0.4299,12.7375,idle
13783,0.0952,0.0443,0.4203,-8.12,4.66,-0.89,0.4332,9.4040,idle
13803,0.0906,0.0457,0.4246,-5.28,0.24,0.31,0.4365,5.2969,idle
13823,0.0996,0.0458,0.4156,-2.69,-2.95,0.78,0.4299,4.0631,idle
13843,0.1064,0.0442,0.4067,-0.37,-3.95,0.67,0.4228,4.0276,idle
13863,0.1118,0.0487,0.4091,1.59,-2.73,0.08,0.4269,3.1615,idle
13883,0.1146,0.0498,0.4034,2.35,-0.98,0.15,0.4224,2.5507,idle
13903,0.1051,0.0525,0.3979,2.64,-1.91,0.56,0.4149,3.3071,idle
13923,0.1080,0.0518,0.4030,2.26,-3.47,0.17,0.4204,4.1406,idle
13943,0.1156,0.0532,0.4023,1.60,-4.17,-0.43,0.4220,4.4860,idle
13963,0.1185,0.0509,0.4015,0.92,-3.25,-0.92,0.4217,3.5004,idle
13983,0.1168,0.0552,0.4010,0.27,-1.98,-1.34,0.4213,2.4124,idle
14003,0.1093,0.0526,0.4041,-0.73,-0.64,-1.62,0.4219,1.8887,idle
14023,0.1074,0.0532,0.4104,-1.02,-0.38,-1.59,0.4276,1.9269,idle
14043,0.1073,0.0459,0.4042,-0.96,-0.53,-1.83,0.4207,2.1371,idle
14063,0.1074,0.0500,0.4023,-1.30,-0.49,-2.38,0.4194,2.7559,idle
14083,0.1018,0.0510,0.4133,-0.85,-1.88,-1.73,0.4287,2.6895,idle
14103,0.1122,0.0490,0.4084,-0.72,-2.81,-1.53,0.4264,3.2768,idle
