time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
12803,-0.0364,0.0178,0.4065,0.11,1.04,-0.60,0.4085,1.2016,idle
12823,-0.0430,0.0242,0.4122,-0.96,-1.60,-0.66,0.4152,1.9814,idle
12843,-0.0314,0.0248,0.4065,-2.00,-4.15,-0.43,0.4085,4.6290,idle
12863,-0.0262,0.0190,0.4047,-1.92,-2.81,1.04,0.4060,3.5594,idle
12883,-0.0303,0.0219,0.4058,-1.50,-1.74,1.51,0.4075,2.7481,idle
12903,-0.0308,0.0144,0.4122,-1.59,-1.83,0.69,0.4136,2.5198,idle
12923,-0.0248,0.0118,0.4111,-1.28,-1.24,0.26,0.4120,1.8004,idle
12943,-0.0226,0.0172,0.4094,-0.90,-0.08,0.73,0.4104,1.1637,idle
12963,-0.0244,0.0159,0.4156,-1.11,0.14,0.29,0.4167,1.1598,idle
12983,-0.0305,0.0127,0.4175,-0.72,-0.72,0.34,0.4188,1.0689,idle
13003,-0.0243,0.0115,0.4227,-0.49,-1.66,-0.38,0.4236,1.7759,idle
13023,-0.0216,0.0144,0.4141,0.00,-0.75,-0.52,0.4149,0.9105,idle
13043,-0.0299,0.0110,0.4226,-0.15,-0.90,-1.04,0.4238,1.3829,idle
13063,-0.0272,0.0062,0.4167,0.18,-0.53,-1.44,0.4177,1.5423,idle
13083,-0.0284,0.0087,0.4137,0.17,0.37,-1.27,0.4148,1.3297,idle
13103,-0.0353,0.0093,0.4147,0.02,-0.06,-1.47,0.4163,1.4670,idle
13123,-0.0364,0.0103,0.4169,-0.09,-2.15,-1.97,0.4186,2.9191,idle
13143,-0.0317,0.0111,0.4176,-0.73,-2.43,-2.44,0.4190,3.5209,idle
13163,-0.0272,0.0140,0.4103,-1.05,-1.01,-1.74,0.4114,2.2703,idle
13183,-0.0349,0.0192,0.4060,-0.90,-0.70,-0.72,0.4080,1.3489,idle
13203,-0.0369,0.0138,0.4135,-0.85,-3.10,-0.32,0.4153,3.2309,idle
13223,-0.0311,0.0154,0.4130,-0.63,-6.02,-0.53,0.4144,6.0713,idle
13243,-0.0135,0.0166,0.4039,-0.17,-3.83,0.18,0.4045,3.8401,idle
13263,-0.0189,0.0092,0.4066,0.60,2.31,0.40,0.4072,2.4139,idle
13283,-0.0372,0.0071,0.4120,1.07,1.86,-0.02,0.4137,2.1475,idle
13303,-0.0400,0.0059,0.4175,1.30,-0.31,-0.49,0.4194,1.4198,idle
13323,-0.0292,0.0098,0.4110,1.10,-1.47,-0.69,0.4122,1.9566,idle
13343,-0.0254,0.0118,0.4115,1.16,0.99,-0.92,0.4125,1.7805,idle
13363,-0.0297,0.0096,0.4208,1.31,2.27,-1.34,0.4219,2.9502,idle
13383,-0.0320,0.0104,0.4185,1.65,0.90,-0.55,0.4198,1.9576,idle
13403,-0.0333,0.0112,0.4216,1.86,-0.64,-0.08,0.4231,1.9714,idle
13423,-0.0292,0.0172,0.4135,1.85,-1.44,-0.14,0.4148,2.3433,idle
13443,-0.0316,0.0145,0.4138,0.70,-0.38,-0.98,0.4153,1.2624,idle
13463,-0.0312,0.0121,0.4143,-0.24,-1.04,-0.31,0.4157,1.1094,idle
13483,-0.0370,0.0131,0.4093,-0.66,-1.36,0.40,0.4112,1.5604,idle
13503,-0.0400,0.0088,0.4146,-0.95,-3.80,0.64,0.4166,3.9697,idle
13523,-0.0310,0.0024,0.4161,-1.28,-4.32,-0.12,0.4173,4.5086,idle
13543,-0.0249,0.0090,0.4155,-0.37,-3.88,-0.93,0.4164,4.0049,idle
13563,-0.0249,0.0111,0.4066,0.67,-1.40,-0.66,0.4075,1.6897,idle
13583,-0.0377,0.0106,0.4121,0.90,0.15,-0.02,0.4140,0.9137,idle
13603,-0.0446,0.0092,0.4126,0.50,-1.60,0.11,0.4151,1.6838,idle
13623,-0.0430,0.0122,0.4058,0.66,-4.79,-0.09,0.4082,4.8395,idle
13643,-0.0275,0.0110,0.4023,0.75,-4.08,0.23,0.4034,4.1507,idle
13663,-0.0334,0.0002,0.4117,0.87,-0.82,-0.35,0.4131,1.2491,idle
13683,-0.0398,0.0040,0.4076,0.90,-1.37,-0.34,0.4096,1.6770,idle
13703,-0.0295,0.0110,0.4064,0.55,-1.59,0.08,0.4076,1.6820,idle
13723,-0.0266,0.0082,0.4137,0.70,-0.32,-1.05,0.4146,1.3060,idle
13743,-0.0265,0.0062,0.4144,0.76,-0.49,-2.08,0.4153,2.2655,idle
13763,-0.0239,0.0129,0.4138,0.64,-0.15,-1.89,0.4147,2.0046,idle
13783,-0.0254,0.0190,0.4116,-0.05,1.07,-1.54,0.4128,1.8767,idle
13803,-0.0365,0.0155,0.4141,-0.63,-0.21,-1.79,0.4160,1.9048,idle
13823,-0.0392,0.0117,0.4137,-1.39,-2.58,-0.92,0.4157,3.0703,idle
13843,-0.0305,0.0129,0.4128,-2.08,-2.46,-0.32,0.4142,3.2335,idle
13863,-0.0325,0.0144,0.4114,-2.32,-1.69,0.09,0.4129,2.8750,idle
13883,-0.0339,0.0066,0.4177,-2.26,-1.15,0.21,0.4192,2.5421,idle
13903,-0.0409,0.0067,0.4232,-1.21,-2.44,0.29,0.4252,2.7397,idle
