time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
29963,0.2863,0.0175,0.3042,0.34,-12.41,2.52,0.4181,12.6697,idle
29983,0.3054,0.0179,0.3009,-6.17,-9.25,0.58,0.4291,11.1345,idle
30003,0.3270,0.0148,0.3025,-13.01,-0.38,-2.50,0.4457,13.2519,idle
30023,0.2942,0.0068,0.3384,-17.07,7.34,-4.26,0.4484,19.0634,idle
30043,0.2449,0.0028,0.3789,-15.15,3.40,-1.74,0.4512,15.6203,idle
30063,0.2499,0.0187,0.3695,-10.81,-3.37,0.56,0.4465,11.3376,idle
30083,0.2643,0.0227,0.3759,-7.08,-3.77,1.59,0.4600,8.1807,idle
30103,0.2723,0.0210,0.3938,-3.24,-6.35,1.44,0.4793,7.2713,idle
30123,0.2961,0.0205,0.3945,0.32,-7.47,1.31,0.4937,7.5870,idle
30143,0.3090,0.0131,0.3815,1.92,-5.83,-0.41,0.4911,6.1549,idle
30163,0.3098,0.0122,0.3743,2.44,-4.49,-2.76,0.4860,5.8095,idle
30183,0.2993,0.0070,0.3699,3.76,-4.75,-3.74,0.4759,7.1162,idle
30203,0.2976,0.0089,0.3627,4.82,-5.19,-3.89,0.4692,8.0856,idle
30223,0.2952,0.0150,0.3472,5.28,-5.01,-4.09,0.4559,8.3500,idle
30243,0.2957,0.0146,0.3384,4.72,-3.83,-4.41,0.4496,7.5105,idle
30263,0.2968,0.0121,0.3286,3.11,-1.60,-3.77,0.4429,5.1469,idle
30283,0.2993,0.0134,0.3315,1.27,1.28,-3.19,0.4469,3.6649,idle
30303,0.2865,0.0081,0.3356,-0.50,1.42,-2.60,0.4413,3.0010,idle
30323,0.2897,0.0002,0.3370,-1.15,-0.15,-2.90,0.4444,3.1223,idle
30343,0.2843,-0.0061,0.3466,-1.08,-0.18,-2.63,0.4483,2.8468,idle
30363,0.2787,-0.0083,0.3448,0.09,-0.90,-2.06,0.4435,2.2512,idle
30383,0.2778,-0.0027,0.3524,0.95,-2.72,-1.34,0.4488,3.1759,idle
30403,0.2855,-0.0027,0.3461,1.16,-3.69,-0.84,0.4487,3.9626,idle
30423,0.2928,-0.0012,0.3474,0.98,-2.41,-0.79,0.4544,2.7210,idle
30443,0.2937,-0.0016,0.3402,0.46,0.12,-0.84,0.4495,0.9643,idle
30463,0.2832,0.0000,0.3455,0.21,0.61,-0.76,0.4467,1.0007,idle
30483,0.2843,0.0034,0.3457,-0.17,-0.31,-0.38,0.4476,0.5168,idle
30503,0.2853,0.0054,0.3489,-0.27,1.19,-0.50,0.4507,1.3219,idle
30523,0.2753,0.0076,0.3551,-0.61,0.93,-0.27,0.4494,1.1471,idle
30543,0.2812,0.0063,0.3490,-0.12,-0.98,0.11,0.4483,0.9905,idle
30563,0.2911,0.0083,0.3501,0.00,0.43,0.12,0.4554,0.4446,idle
30583,0.2838,0.0060,0.3560,0.53,0.53,0.85,0.4553,1.1411,idle
30603,0.2878,0.0059,0.3549,1.31,-0.63,0.49,0.4570,1.5344,idle
30623,0.2847,0.0046,0.3510,1.60,-1.77,0.50,0.4519,2.4413,idle
30643,0.2917,0.0087,0.3457,1.77,-2.98,0.43,0.4524,3.4903,idle
30663,0.3018,0.0120,0.3396,1.33,-2.02,-0.27,0.4545,2.4292,idle
30683,0.2946,0.0084,0.3412,0.75,-0.52,-0.52,0.4508,1.0481,idle
30703,0.2771,0.0049,0.3523,1.07,-0.76,0.58,0.4482,1.4358,idle
30723,0.2720,0.0002,0.3572,3.85,-4.32,1.60,0.4489,6.0033,idle
30743,0.2802,0.0007,0.3540,5.25,-7.85,2.14,0.4514,9.6815,idle
30763,0.2970,0.0109,0.3409,4.98,-7.91,1.25,0.4523,9.4277,idle
30783,0.3037,0.0125,0.3402,3.16,-5.85,-0.24,0.4562,6.6512,idle
30803,0.3047,0.0125,0.3390,0.76,-1.68,-1.68,0.4560,2.4947,idle
30823,0.2939,0.0023,0.3459,-1.11,1.76,-2.26,0.4540,3.0709,idle
30843,0.2744,-0.0026,0.3499,-1.07,0.66,-2.34,0.4446,2.6513,idle
30863,0.2759,-0.0015,0.3496,-0.17,-1.13,-1.83,0.4454,2.1589,idle
30883,0.2809,0.0031,0.3480,0.98,-2.18,-1.25,0.4472,2.6997,idle
30903,0.2838,0.0031,0.3488,1.02,-1.01,-0.53,0.4497,1.5321,idle
30923,0.2874,0.0027,0.3395,1.27,-0.79,-0.46,0.4448,1.5639,idle
30943,0.2770,0.0020,0.3440,0.41,-1.50,-0.67,0.4416,1.6911,idle
30963,0.2882,0.0028,0.3427,0.34,-3.11,-1.65,0.4478,3.5400,idle
30983,0.2875,0.0011,0.3444,0.11,-2.06,-1.10,0.4486,2.3383,idle
31003,0.2853,0.0034,0.3401,0.06,-1.16,-0.21,0.4439,1.1814,idle
31023,0.2854,0.0055,0.3552,0.32,-0.58,0.17,0.4557,0.6838,idle
31043,0.2865,0.0061,0.3489,0.58,-1.66,0.31,0.4515,1.7886,idle
31063,0.2920,0.0061,0.3519,0.64,-2.29,0.02,0.4573,2.3782,idle
31083,0.2955,0.0060,0.3464,0.49,-0.61,-0.87,0.4554,1.1700,idle
31103,0.2823,0.0070,0.3544,0.38,-0.76,-0.87,0.4532,1.2189,idle
31123,0.2845,0.0095,0.3521,0.47,-2.03,-0.69,0.4528,2.1952,idle
31143,0.2877,0.0074,0.3461,0.55,-1.50,-0.47,0.4501,1.6627,idle
31163,0.2826,0.0132,0.3491,0.66,-0.29,-0.50,0.4494,0.8769,idle
31183,0.2792,0.0105,0.3503,1.21,-1.10,0.15,0.4481,1.6390,idle
31203,0.2830,0.0106,0.3450,1.22,-1.66,0.24,0.4463,2.0786,idle
31223,0.2837,0.0101,0.3458,1.25,-2.09,0.02,0.4474,2.4377,idle
31243,0.2897,0.0088,0.3473,0.98,-1.48,0.12,0.4523,1.7784,idle
31263,0.2893,0.0085,0.3451,0.44,-0.17,-0.17,0.4504,0.5024,idle
31283,0.2861,0.0061,0.3513,0.58,-0.38,-0.50,0.4531,0.8580,idle
31303,0.2833,0.0087,0.3510,1.28,-0.95,-0.27,0.4511,1.6175,idle
31323,0.2815,0.0100,0.3503,1.71,-2.44,-0.27,0.4495,2.9944,idle
31343,0.2845,0.0095,0.3501,1.83,-4.35,-0.58,0.4512,4.7566,idle
31363,0.2988,0.0123,0.3459,1.15,-2.52,-0.92,0.4573,2.9148,idle
31383,0.2957,0.0089,0.3466,1.07,0.70,-0.72,0.4556,1.4664,idle
31403,0.2791,0.0067,0.3505,1.53,0.35,-0.47,0.4480,1.6365,idle
31423,0.2760,0.0061,0.3499,1.82,-2.15,-0.29,0.4457,2.8318,idle
31443,0.2883,0.0024,0.3480,2.02,-3.19,-0.49,0.4520,3.8054,idle
31463,0.2833,0.0044,0.3472,2.11,-3.24,-0.56,0.4481,3.9031,idle
31483,0.2842,0.0093,0.3391,1.76,-3.92,-0.81,0.4425,4.3741,idle
31503,0.2866,0.0109,0.3436,1.40,-3.76,-1.30,0.4476,4.2145,idle
31523,0.2900,0.0063,0.3372,0.61,-2.41,-1.25,0.4448,2.7855,idle
31543,0.2843,0.0070,0.3401,0.20,0.17,-0.90,0.4433,0.9375,idle
31563,0.2726,0.0085,0.3495,0.31,-1.05,0.05,0.4433,1.0978,idle
31583,0.2799,0.0115,0.3531,0.29,-3.08,0.46,0.4508,3.1313,idle
31603,0.2899,0.0146,0.3481,-0.03,-3.19,0.20,0.4533,3.1972,idle
31623,0.2931,0.0081,0.3448,-0.17,-1.62,-0.46,0.4526,1.6902,idle
31643,0.2866,0.0094,0.3499,-0.02,-0.06,0.00,0.4524,0.0629,idle
31663,0.2784,0.0067,0.3513,0.41,-1.02,0.15,0.4483,1.1134,idle
31683,0.2933,0.0050,0.3500,0.63,-2.09,-0.15,0.4567,2.1886,idle
31703,0.2925,0.0074,0.3468,1.01,-0.17,-0.52,0.4537,1.1459,idle
31723,0.2841,0.0088,0.3466,0.99,0.53,-0.06,0.4482,1.1287,idle
31743,0.2751,0.0038,0.3541,1.16,-1.54,0.02,0.4485,1.9298,idle
31763,0.2850,0.0063,0.3491,1.50,-3.80,-0.21,0.4507,4.0909,idle
31783,0.2942,0.0106,0.3445,0.82,-2.41,-0.46,0.4531,2.5900,idle
31803,0.2887,0.0133,0.3478,0.69,-0.40,-0.73,0.4522,1.0801,idle
31823,0.2828,0.0123,0.3469,0.29,-0.47,-0.55,0.4478,0.7812,idle
31843,0.2812,0.0055,0.3440,0.38,-1.68,-0.43,0.4444,1.7745,idle
31863,0.2859,0.0070,0.3535,0.85,-1.63,-0.37,0.4547,1.8798,idle
31883,0.2906,0.0061,0.3519,1.15,-1.22,-0.43,0.4565,1.7279,idle
31903,0.2863,0.0054,0.3491,1.21,-0.93,-0.75,0.4515,1.6975,idle
31923,0.2838,0.0094,0.3456,1.02,-0.89,-0.53,0.4473,1.4546,idle
31943,0.2837,0.0072,0.3463,0.96,-1.45,-0.55,0.4477,1.8251,forward
31963,0.2810,0.0082,0.3412,0.98,-0.81,-0.50,0.4421,1.3650,forward
31983,0.2815,0.0070,0.3484,0.78,-1.97,-0.29,0.4480,2.1376,forward
32003,0.2815,0.0076,0.3479,0.92,-1.54,-0.34,0.4476,1.8247,forward
32023,0.2842,0.0044,0.3456,0.84,-1.59,-0.46,0.4474,1.8536,forward
32043,0.2849,0.0045,0.3488,0.85,-0.82,-0.41,0.4504,1.2572,forward
32063,0.2784,0.0072,0.3505,1.05,-1.76,-0.14,0.4477,2.0521,forward
32083,0.2836,0.0073,0.3474,1.30,-2.46,0.23,0.4485,2.7890,forward
32103,0.2854,0.0021,0.3458,1.22,-2.24,0.03,0.4484,2.5553,forward
32123,0.2859,0.0067,0.3422,1.08,-2.08,0.15,0.4459,2.3472,forward
32143,0.2872,0.0085,0.3485,0.95,-1.92,-0.05,0.4517,2.1444,forward
32163,0.2834,0.0094,0.3452,0.73,-2.50,-0.21,0.4468,2.6176,forward
32183,0.2867,0.0052,0.3491,0.26,-2.40,-0.52,0.4518,2.4662,forward
32203,0.2823,0.0109,0.3456,0.12,-1.19,-0.35,0.4464,1.2475,forward
32223,0.2797,0.0088,0.3500,0.41,-2.05,0.21,0.4481,2.0978,forward
32243,0.2822,0.0070,0.3479,0.82,-3.65,0.00,0.4480,3.7408,forward
32263,0.2921,0.0038,0.3446,0.69,-3.05,0.31,0.4518,3.1446,forward
32283,0.2926,0.0089,0.3441,0.26,-0.72,-0.15,0.4518,0.7782,forward
32303,0.2815,0.0059,0.3479,-0.12,-0.67,-0.32,0.4476,0.7543,forward
32323,0.2775,0.0077,0.3437,-0.43,-2.49,-0.61,0.4418,2.5978,forward
32343,0.2892,0.0081,0.3483,-0.14,-3.62,-0.50,0.4527,3.6558,forward
32363,0.2853,0.0042,0.3494,0.24,-2.38,0.05,0.4511,2.3946,forward
32383,0.2871,0.0061,0.3495,0.69,-1.51,0.11,0.4523,1.6637,forward
32403,0.2799,0.0078,0.3506,0.95,-1.50,0.11,0.4487,1.7737,forward
32423,0.2797,0.0062,0.3508,0.40,-3.04,0.14,0.4487,3.0671,forward
32443,0.2856,0.0083,0.3445,0.18,-3.45,0.31,0.4476,3.4687,forward
32463,0.2852,0.0065,0.3424,-0.26,-2.35,0.37,0.4456,2.3936,forward
32483,0.2802,0.0093,0.3461,-0.46,-1.88,1.01,0.4453,2.1798,forward
32503,0.2780,0.0055,0.3551,0.46,-2.11,1.94,0.4510,2.8997,forward
32523,0.2924,0.0012,0.3558,1.10,-2.23,1.36,0.4605,2.8325,forward
32543,0.2982,0.0018,0.3566,1.40,-0.98,0.52,0.4648,1.7880,forward
32563,0.2977,-0.0034,0.3718,2.15,-1.22,-0.50,0.4763,2.5258,forward
32583,0.3060,-0.0017,0.3857,4.24,-0.67,-2.09,0.4924,4.7791,forward
32603,0.3265,-0.0048,0.4200,8.29,2.11,-5.01,0.5321,9.9116,forward
32623,0.3734,-0.0251,0.4611,16.43,7.45,-9.76,0.5938,20.5072,forward
32643,0.3575,-0.0286,0.4767,25.85,16.38,-15.91,0.5966,34.4894,forward
32663,0.3164,-0.0276,0.5033,37.33,12.05,-19.16,0.5951,43.6534,forward
32683,0.3468,-0.0338,0.4946,50.15,5.57,-25.92,0.6050,56.7308,forward
32703,0.3519,-0.0250,0.4976,62.67,3.22,-33.60,0.6100,71.1849,forward
