time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,label
39123,0.1597,-0.0059,0.3999,2.11,-2.90,2.46,0.4306,4.3469,idle
39143,0.1541,-0.0054,0.3982,2.41,-2.85,2.31,0.4270,4.3914,idle
39163,0.1577,-0.0070,0.3977,1.76,-3.33,2.08,0.4279,4.2978,idle
39183,0.1575,-0.0012,0.3990,1.63,-3.37,2.24,0.4290,4.3692,idle
39203,0.1602,-0.0028,0.3956,1.56,-3.13,1.85,0.4268,3.9539,idle
39223,0.1577,-0.0066,0.4016,1.36,-2.99,2.00,0.4315,3.8471,idle
39243,0.1633,-0.0034,0.3994,1.19,-3.07,1.42,0.4315,3.5848,idle
39263,0.1591,-0.0033,0.4026,0.73,-2.82,1.15,0.4329,3.1346,idle
39283,0.1576,-0.0012,0.4023,0.31,-3.42,1.08,0.4321,3.6005,idle
39303,0.1638,-0.0031,0.4032,0.17,-3.01,0.95,0.4352,3.1575,idle
39323,0.1620,-0.0057,0.4038,-0.38,-1.45,0.98,0.4351,1.7900,idle
39343,0.1555,-0.0059,0.4039,-0.09,-2.21,0.73,0.4329,2.3337,idle
39363,0.1556,-0.0065,0.4075,0.20,-2.60,0.58,0.4362,2.6669,idle
39383,0.1622,-0.0094,0.4042,0.50,-2.34,0.87,0.4356,2.5431,idle
39403,0.1626,-0.0103,0.4078,1.15,-1.95,1.07,0.4392,2.5044,idle
39423,0.1608,-0.0116,0.4066,1.60,-2.15,1.10,0.4374,2.9004,idle
39443,0.1591,-0.0085,0.4021,2.12,-2.82,1.10,0.4325,3.6999,idle
39463,0.1619,-0.0068,0.3984,1.80,-2.49,1.04,0.4301,3.2429,idle
39483,0.1622,-0.0039,0.4031,1.79,-1.92,1.02,0.4345,2.8174,idle
39503,0.1584,-0.0043,0.4026,1.76,-2.37,0.76,0.4327,3.0439,idle
39523,0.1613,-0.0044,0.3986,1.76,-2.05,0.79,0.4300,2.8104,idle
39543,0.1581,-0.0059,0.4064,1.44,-2.06,0.58,0.4361,2.5776,idle
39563,0.1621,-0.0043,0.3987,1.73,-2.20,0.37,0.4304,2.8185,idle
39583,0.1610,-0.0040,0.4028,1.31,-1.92,0.29,0.4338,2.3470,idle
39603,0.1589,-0.0037,0.4003,1.18,-2.56,0.24,0.4307,2.8320,idle
39623,0.1636,-0.0062,0.4001,1.27,-2.73,0.11,0.4323,3.0142,idle
39643,0.1617,-0.0044,0.4019,1.19,-2.31,0.55,0.4332,2.6523,idle
39663,0.1646,-0.0020,0.4022,1.19,-2.55,0.61,0.4346,2.8795,idle
39683,0.1567,-0.0055,0.4010,1.18,-2.17,0.63,0.4306,2.5444,idle
39703,0.1561,-0.0024,0.4042,1.05,-2.23,0.70,0.4333,2.5635,idle
39723,0.1567,-0.0032,0.3983,1.15,-2.76,1.05,0.4281,3.1713,idle
39743,0.1621,-0.0029,0.4033,0.72,-2.12,1.19,0.4347,2.5370,idle
39763,0.1625,-0.0035,0.3998,0.81,-1.83,0.96,0.4315,2.2218,idle
39783,0.1592,-0.0042,0.4019,0.79,-2.02,1.07,0.4323,2.4153,idle
39803,0.1661,-0.0031,0.4005,1.02,-2.15,0.63,0.4336,2.4642,idle
39823,0.1611,-0.0043,0.4023,0.55,-2.35,0.49,0.4334,2.4635,idle
39843,0.1663,-0.0079,0.4008,0.56,-1.71,0.43,0.4339,1.8509,idle
39863,0.1630,-0.0061,0.4049,0.47,-2.03,-0.24,0.4365,2.0992,idle
39883,0.1647,-0.0046,0.4001,0.61,-2.52,-0.27,0.4327,2.6066,idle
39903,0.1636,-0.0062,0.4008,0.44,-1.74,-0.29,0.4329,1.8192,idle
39923,0.1591,-0.0056,0.3997,0.23,-1.77,-0.35,0.4302,1.8199,idle
39943,0.1603,-0.0040,0.4009,0.31,-1.80,-0.23,0.4318,1.8415,idle
39963,0.1588,-0.0048,0.3998,0.82,-2.56,0.15,0.4302,2.6984,idle
39983,0.1597,-0.0062,0.3990,0.89,-2.15,0.37,0.4299,2.3563,idle
40003,0.1581,-0.0065,0.4027,0.89,-1.92,0.11,0.4327,2.1204,idle
40023,0.1611,-0.0049,0.4020,0.92,-2.69,-0.08,0.4331,2.8399,idle
40043,0.1665,-0.0039,0.3982,1.48,-2.26,0.14,0.4316,2.7051,idle
40063,0.1624,-0.0048,0.4003,1.22,-2.06,-0.08,0.4320,2.3970,idle
40083,0.1611,-0.0040,0.3982,1.48,-1.91,-0.06,0.4296,2.4164,idle
40103,0.1598,-0.0063,0.3982,1.36,-2.24,-0.11,0.4291,2.6257,idle
40123,0.1632,-0.0077,0.3954,1.59,-2.44,-0.03,0.4278,2.9136,idle
40143,0.1636,-0.0061,0.4014,1.22,-1.91,-0.32,0.4335,2.2883,idle
40163,0.1609,-0.0090,0.4019,0.99,-2.26,-0.44,0.4330,2.5073,idle
40183,0.1648,-0.0042,0.4044,1.08,-2.11,-0.27,0.4367,2.3852,idle
40203,0.1611,-0.0048,0.4044,1.11,-1.42,-0.55,0.4354,1.8868,idle
40223,0.1614,-0.0057,0.4026,0.93,-1.51,-0.47,0.4338,1.8373,idle
40243,0.1606,-0.0055,0.3986,1.24,-1.57,-0.20,0.4298,2.0103,idle
40263,0.1648,-0.0020,0.4038,1.07,-1.51,-0.12,0.4361,1.8551,idle
40283,0.1631,-0.0071,0.4010,1.25,-1.15,-0.55,0.4330,1.7834,idle
40303,0.1608,-0.0066,0.4043,1.39,-1.62,-0.32,0.4351,2.1568,idle
40323,0.1635,-0.0039,0.3948,1.42,-2.21,0.02,0.4273,2.6300,idle
40343,0.1642,-0.0031,0.3995,1.13,-1.36,-0.02,0.4320,1.7672,idle
40363,0.1617,-0.0043,0.3999,0.87,-0.60,-0.21,0.4314,1.0759,idle
40383,0.1599,-0.0015,0.4037,1.04,-2.15,0.18,0.4342,2.3969,idle
40403,0.1642,-0.0010,0.4043,1.10,-2.12,-0.20,0.4364,2.3982,idle
40423,0.1669,-0.0012,0.4015,1.25,-1.04,-0.35,0.4348,1.6638,idle
40443,0.1641,-0.0011,0.4053,1.50,-0.69,-0.43,0.4372,1.7010,idle
40463,0.1641,-0.0037,0.4031,2.02,-1.28,-0.46,0.4352,2.4322,idle
40483,0.1643,-0.0018,0.4044,2.69,-1.56,-0.95,0.4365,3.2467,idle
40503,0.1639,-0.0071,0.4047,3.19,-1.39,-1.18,0.4367,3.6734,idle
40523,0.1635,-0.0043,0.4016,3.65,-1.15,-1.56,0.4336,4.1292,idle
40543,0.1583,-0.0054,0.4012,4.32,-1.76,-1.79,0.4314,4.9941,idle
40563,0.1573,-0.0046,0.3973,4.24,-2.14,-1.40,0.4274,4.9553,idle
40583,0.1587,-0.0006,0.3934,3.74,-2.08,-1.19,0.4242,4.4408,idle
40603,0.1559,-0.0001,0.3943,2.81,-1.91,-1.05,0.4240,3.5557,idle
40623,0.1554,0.0022,0.3955,2.12,-1.50,-0.81,0.4249,2.7197,idle
40643,0.1577,-0.0006,0.3970,1.31,-1.45,-0.41,0.4272,1.9994,idle
40663,0.1627,-0.0033,0.3970,0.76,-0.96,-0.60,0.4290,1.3647,idle
40683,0.1614,-0.0016,0.4019,0.63,-1.27,-0.63,0.4331,1.5458,idle
40703,0.1620,-0.0017,0.4030,0.93,-1.27,-0.69,0.4343,1.7161,idle
40723,0.1583,-0.0009,0.4041,1.36,-1.30,-0.44,0.4340,1.9304,idle
40743,0.1616,-0.0007,0.4000,1.10,-1.39,-0.40,0.4314,1.8155,idle
40763,0.1586,0.0002,0.4019,1.85,-1.74,-0.11,0.4320,2.5403,idle
40783,0.1604,-0.0004,0.3953,1.74,-1.91,0.32,0.4266,2.6027,idle
40803,0.1592,-0.0009,0.3997,1.59,-1.40,0.06,0.4302,2.1208,idle
40823,0.1569,-0.0016,0.4032,1.62,-2.35,0.12,0.4326,2.8569,idle
40843,0.1632,0.0010,0.3960,0.90,-2.09,0.47,0.4283,2.3260,idle
40863,0.1593,0.0006,0.3961,0.69,-2.21,0.11,0.4270,2.3204,idle
40883,0.1625,0.0042,0.3951,0.29,-1.77,0.06,0.4273,1.7956,idle
40903,0.1584,0.0001,0.4001,-0.14,-1.48,-0.08,0.4304,1.4892,idle
40923,0.1591,0.0011,0.3976,0.20,-2.55,-0.08,0.4282,2.5585,idle
40943,0.1581,0.0031,0.3973,-0.09,-2.50,-0.12,0.4276,2.5085,idle
40963,0.1600,0.0001,0.3979,0.21,-2.52,-0.05,0.4289,2.5286,idle
40983,0.1569,-0.0012,0.4048,0.29,-2.18,-0.12,0.4341,2.2058,idle
41003,0.1567,-0.0002,0.4011,-0.06,-2.84,-0.49,0.4307,2.8821,idle
41023,0.1582,0.0022,0.4026,0.29,-3.22,-0.11,0.4326,3.2362,idle
41043,0.1605,0.0017,0.3962,0.11,-2.50,-0.03,0.4275,2.5063,idle
41063,0.1582,0.0037,0.3984,-0.31,-1.39,-0.20,0.4287,1.4363,idle
41083,0.1576,0.0020,0.4017,-0.03,-2.75,-0.06,0.4315,2.7489,idle
41103,0.1639,0.0000,0.3990,-0.23,-2.58,0.09,0.4314,2.5919,idle
41123,0.1627,0.0000,0.4036,-0.44,-1.86,-0.35,0.4351,1.9464,idle
41143,0.1619,-0.0015,0.4044,-0.40,-1.63,-0.52,0.4356,1.7594,idle
41163,0.1549,0.0005,0.4022,-0.20,-2.09,-0.12,0.4310,2.1045,idle
41183,0.1611,0.0018,0.4058,0.06,-1.91,0.05,0.4366,1.9099,idle
41203,0.1584,-0.0035,0.4032,0.47,-2.09,0.17,0.4332,2.1510,idle
41223,0.1606,0.0018,0.4048,0.73,-2.06,-0.11,0.4355,2.1901,idle
41243,0.1625,0.0013,0.3995,0.81,-2.35,-0.09,0.4313,2.4882,idle
